match type,Day,Date,Time,Home,xg_home,Score,xg_away,Away,Attendance,Venue,Referee,Match Report,Match URL,Match ID
Regular Season,Sat,6/22/19,19:00,Sky Blue FC,2.8,1–2,1.3,Pride,"1,644",The Soccer/Lacrosse Stadium at Yurcak Fi...,Becky Pagan,Match Report,https://fbref.com/en/matches/eb81709b/Sky-Blue-FC-Orlando-Pride-June-22-2019-NWSL,eb81709b
Regular Season,Fri,6/21/19,20:00 (23:00),Thorns,1.2,0–0,0.3,Royals,"15,581",Providence Park,Rosendo Mendoza,Match Report,https://fbref.com/en/matches/ec9ceb9f/Portland-Thorns-FC-Utah-Royals-FC-June-21-2019-NWSL,ec9ceb9f
Regular Season,Sun,6/23/19,17:00 (18:00),Red Stars,0.7,0–1,2,Reign,"2,023",SeatGeek Stadium,Ismir Pekmic,Match Report,https://fbref.com/en/matches/7ee309e3/Chicago-Red-Stars-Reign-FC-June-23-2019-NWSL,7ee309e3
Regular Season,Sat,6/29/19,19:00,Spirit,0.9,1–2,2.4,Courage,"3,481",Maureen Hendricks Field Maryland SoccerP...,Robinson Khongsai,Match Report,https://fbref.com/en/matches/05482155/Washington-Spirit-North-Carolina-Courage-June-29-2019-NWSL,05482155
Regular Season,Fri,6/28/19,20:00 (22:00),Royals,1,0–2,1.8,Reign,"6,910",Rio Tinto Stadium,Kevin Broadley,Match Report,https://fbref.com/en/matches/b30b11e9/Utah-Royals-FC-Reign-FC-June-28-2019-NWSL,b30b11e9
Regular Season,Sun,6/30/19,17:00,Pride,1.9,2–3,2.3,Red Stars,"3,906",Exploria Stadium,Jasmine Peralta,Match Report,https://fbref.com/en/matches/745bedf3/Orlando-Pride-Chicago-Red-Stars-June-30-2019-NWSL,745bedf3
Regular Season,Sat,6/29/19,19:30 (20:30),Dash,1.7,1–2,0.9,Thorns,"3,379",BBVA Stadium,Michael Radchuk,Match Report,https://fbref.com/en/matches/49094e3a/Houston-Dash-Portland-Thorns-FC-June-29-2019-NWSL,49094e3a
Regular Season,Fri,7/5/19,19:30,Courage,2.6,5–2,0.9,Dash,"5,066",Sahlen's Stadium at WakeMed Soccer Park,Lukasz Szpala,Match Report,https://fbref.com/en/matches/1520b6f5/North-Carolina-Courage-Houston-Dash-July-5-2019-NWSL,1520b6f5
Regular Season,Sat,7/6/19,19:30,Pride,3.1,4–3,3.1,Spirit,"3,703",Exploria Stadium,Greg Dopka,Match Report,https://fbref.com/en/matches/0262bb35/Orlando-Pride-Washington-Spirit-July-6-2019-NWSL,0262bb35
Regular Season,Fri,7/5/19,20:00 (23:00),Thorns,1.1,0–1,0.3,Reign,"19,116",Providence Park,Farhad Dadkho,Match Report,https://fbref.com/en/matches/b2b9405a/Portland-Thorns-FC-Reign-FC-July-5-2019-NWSL,b2b9405a
